category,subcategory,title_summary,result,result_description,min,max,color
ПРОДУКТ,Продуктовая линейка,,"Сильная, продуктовая стратегия с высоким потенциалом масштабирования.","Продукты логично выстроены, переходы между уровнями воронки оптимизированы, что обеспечивает высокую конверсию. 
Присутствует комплексная стратегия вовлечения и удержания клиентов через стратегии Upsell, Cross-sell. 
УТП всех продуктов четко сформулированы и подтверждены рыночными данными. 
Анализ клиентского опыта осуществляется системно, обновление продуктовой линейки происходит на основе данных. 
Продуктовая линейка обладает высоким потенциалом масштабирования.
",75,89,#78e08f
ПРОДУКТ,Продуктовая линейка,,Эталонная продуктовая стратегия.,"Продуктовая линейка выстроена максимально эффективно, постоянно обновляется с учетом аналитики и изменений рынка. 
Каждый продукт выполняет четкую функцию в клиентском пути, обеспечивая высокую конверсию и удержание аудитории. 
УТП на уровне лидера рынка, продукты демонстрируют высокую ценность и дифференциацию. 
Инструменты тестирования и улучшения внедрены на постоянной основе, а стратегия масштабирования включает смежные рынки, лицензирование и франчайзинг.
",90,100,#009432
ПРОДУКТ,Личный бренд,,Отсутствие личного бренда. Полная невидимость в профессиональной среде.,"Эксперт не имеет четкого позиционирования, не понимает свои ключевые отличия от конкурентов и не использует личный бренд как инструмент развития бизнеса. 
Целевая аудитория не осознает ценности его услуг, а присутствие в медиаполе минимальное или полностью отсутствует. 
Нет стратегии контент-маркетинга, взаимодействия с профессиональным сообществом и работы с PR-инструментами. 
Доверие клиентов низкое, что приводит к сложностям в продажах и формировании экспертного статуса.
",0,20,#eb2f06
ПРОДУКТ,Личный бренд,,"Первичные шаги в построении личного бренда, нет стратегии и системности.","Эксперт осознает необходимость работы с личным брендом, но пока не имеет четкой стратегии и системного позиционирования. 
Целевая аудитория частично понимает ценность его услуг, но недостаточно вовлечена. 
Медийное присутствие ограничивается разрозненными публикациями или нерегулярной активностью в соцсетях. 
Контент-маркетинг ведется хаотично, без четкого плана. PR-инструменты не используются. 
Отсутствие доверительных связей с аудиторией снижает эффективность продаж.
",21,35,#f6b93b
ПРОДУКТ,Личный бренд,,Базовое развитие бренда. Слабая вовлеченность аудитории.,"Личный бренд начинает работать, но его позиционирование остается размытым. 
Эксперт активен в социальных сетях и профессиональных сообществах, но контент-маркетинг нерегулярен, что не создает стабильного информационного поля. 
Целевая аудитория узнает эксперта, но еще не полностью воспринимает его как лидера в своей нише. 
PR и медиа-активности присутствуют, но не используются на полную мощность. 
Продажи через личный бренд происходят, но их доля в общем потоке клиентов остается низкой.
",36,49,#fad390
ПРОДУКТ,Личный бренд,,"Устойчивая структура личного бренда, есть точки роста.","Эксперт имеет четкое позиционирование и хорошо понимает свои конкурентные преимущества. 
Целевая аудитория вовлечена, доверие клиентов растет. 
Ведется системная работа с контентом, включая публикации, выступления и работу с профессиональными платформами. 
PR-инструменты применяются, но могут быть усилены для расширения охвата. 
Личный бренд уже является активом, но его влияние на продажи может быть увеличено за счет внедрени качественных стратегий медийного присутствия.
",50,74,#b8e994
ПРОДУКТ,Личный бренд,,Сильный личный бренд. Высокая узнаваемость и влияние.,"Эксперт уверенно занимает позицию лидера в своей нише, его бренд активно привлекает клиентов и партнеров. 
Контент-маркетинг выстроен системно, PR-активности ведутся на высоком уровне, а выступления на конференциях и в СМИ стали важной частью стратегии. 
Целевая аудитория не только доверяет эксперту, но и активно рекомендует его услуги. 
Личный бренд работает как мощный инструмент роста, но его влияние можно усилить через проработку новых медийных формато и расширения присуттствия на новых платформах и каналах.
",75,89,#78e08f
ПРОДУКТ,Личный бренд,,Эталоная структура личного бренда. Высокое влияние и лидерская позиция на рынке.,"Личный бренд эксперта является ключевым активом бизнеса, обеспечивая стабильный поток клиентов и высокий уровень доверия. 
Эксперт задает тренды в своей нише, его мнение авторитетно в профессиональном сообществе. 
Контент-маркетинг, PR-стратегия и медийное присутствие синхронизированы и работают на расширение влияния. 
Публикации, книги, конференции и сотрудничество с топовыми медиа усиливают экспертный статус. 
Бренд не только привлекает клиентов, но и открывает новые возможности для масштабирования и стратегических партнерств.
",90,100,#009432
ПРОДУКТ,Монетизация,,Отсутствие финансовой модели. Хаотичный подход к монетизации.,"Финансовая модель отсутствует или ведется интуитивно, без точных расчетов доходности, прибыли и точек роста. 
Нет системы тестирования цен, скидки и бонусы применяются бессистемно, без анализа их влияния на прибыль. 
Отсутствует стратегия повышения среднего чека, персонализированные предложения клиентам не формируются. 
Себестоимость продуктов не рассчитывается, что приводит к неконтролируемым расходам и возможным убыткам.
",0,20,#eb2f06
ПРОДУКТ,Монетизация,,Начальный уровень финансового планирования. Отсутствие стратегии монетизации.,"Эксперт осознает важность финансового планирования, но расчеты ведутся поверхностно, без глубокой аналитики. 
Применяются отдельные механики скидок и бонусов, но их эффективность не оценивается. 
A/B тестирование цен проводится редко или отсутствует. 
Стоимсоть продуктов (услуг) повышается точечно, без проработки долгосрочной стратегии. 
Анализ себестоимости проводится нерегулярно, что затрудняет понимание реальной маржинальности продуктов.
",21,35,#f6b93b
ПРОДУКТ,Монетизация,,Базовая модель монетизации. Необходимо внедрение системных решений.,"Финансовая модель присутствует, но не охватывает все аспекты монетизации. 
Расчеты доходности ведутся в упрощенном виде, без регулярного пересмотра и адаптации. 
Применяются тестирования цен, но выбор оптимальных стратегий ценообразования основан скорее на предположениях, чем на данных. 
Используются скидки и программы лояльности, но их влияние на прибыльность не анализируется системно.
Есть понимание механизмов повышения среднего чека, но стратегия роста не структурирована и не достаточно устойчива.
",36,49,#fad390
ПРОДУКТ,Монетизация,,Системный подход к монетизация. Возможности для роста и развития.,"Финансовая модель проработана, точные расчеты планируемой выручки и точек роста ведутся регулярно. 
Применяются механизмы A/B тестирования цен, анализируются данные по продажам. 
Разработана стратегия работы со скидками, бонусами и программами лояльности, что позволяет привлекать и удерживать клиентов без потерь в маржинальности. 
Средний чек повышается за счет дополнительных услуг и персонализированных предложений, но остаются точки роста в сегментации клиентов.
",50,74,#b8e994
ПРОДУКТ,Монетизация,,Высокая эффективность модели монетизации. Высокий потенциал масштабирования.,"Финансовая модель гибкая, динамически адаптируется к изменениям рынка. 
A/B тестирование цен проводится на постоянной основе, механики скидок и программ лояльности применяются  системно. 
Средний чек регулярно повышается за счет персонализированных офферов, премиальных услуг и стратегических апселов. 
Себестоимость каждого продукта рассчитывается, анализируется маржинальность и ведется контроль прибыли по ключевым направлениям бизнеса.
",75,89,#78e08f
ПРОДУКТ,Монетизация,,Эталонная структура. Максимизация прибыли через персонализированные стратегии.,"Финансовая модель компании глубоко проработана, включает детальные расчеты планируемого дохода, маржинальности и точек роста. 
Монетизация гибко адаптируется под различные сегменты клиентов, тестируются новые модели ценообразования, включая динамическое ценообразование и персонализированные предложения. 
Все скидки, бонусные программы и премиальные услуги работают в синергии для максимизации прибыли. 
Аналитика себестоимости ведется с высокой точностью, что позволяет снижать расходы и увеличивать рентабельность.
",90,100,#009432
МАРКЕТИНГ,,Сводный отчет по категории МАРКЕТИНГ,Отсутствие маркетинговой стратегии. Хаотичное привлечение клиентов.,"Бизнес не имеет системного подхода к маркетингу, клиентский поток нестабилен и плохо прогнозируется. 
Отсутствует четкое понимание целевой аудитории, аватары клиентов не сформированы, маркетинговые активности не связаны в единую стратегию. Каналы продвижения используются случайным образом, аналитика и оценка эффективности не ведутся. 
Инструменты автоматизации и ИИ-решения не внедрены, маркетинг работает вручную, что ограничивает возможности роста.

Основные риски:
•        Отсутствие стабильного потока клиентов и низкая конверсия в продажи.
•        Неэффективное использование маркетингового бюджета.
•        Отсутствие конкурентных преимуществ и позиционирования на рынке.
•        Высокая зависимость от внешних рыночных факторов без стратегии развития.

Ключевая задача – сформировать маркетинговую стратегию, определить целевую аудиторию и выстроить систему привлечения клиентов.",0,20,#eb2f06
МАРКЕТИНГ,,Сводный отчет по категории МАРКЕТИНГ,Разрозненная маркетинговая стратегия. Слабая предсказуемость результатов.,"Компания использует несколько маркетинговых инструментов, но их интеграция отсутствует. 
Аватары клиентов определены поверхностно, что приводит к низкой релевантности офферов. Карта пути клиента проработана частично, что затрудняет управление точками касания и конверсией. 
В маркетинговой стратегии присутствуют разные инструменты продвижения, но они не связаны в единую систему. 
Автоворонки, ретаргетинг и персонализированные коммуникации либо не используются, либо работают фрагментарно. 
Инструменты аналитики есть, но данных недостаточно для точного прогнозирования результатов.

Основные проблемы:
•        Отсутствие системного подхода к управлению клиентскими сегментами.
•        Неоптимизированные точки касания ведут к потерям клиентов.
•        Неполная интеграция каналов продвижения снижает их эффективность.
•        Недостаточная аналитика мешает корректировке стратегии.

Фокус на этом этапе – превратить маркетинг в комплексную систему, внедрить аналитику и автоматизацию, усилить персонализацию коммуникаций.",21,35,#f6b93b
МАРКЕТИНГ,,Сводный отчет по категории МАРКЕТИНГ,Базовая маркетинговая стратегия. Слабая адаптация к изменениям рынка и новым задачам.,"На этом уровне выстроена первичная стратегия, которая позволяет привлекать клиентов через несколько каналов. 
Определены ключевые сегменты аудитории, но нет четкой стратегии персонализации офферов. 
Карта пути клиента существует, но требует детального анализа и оптимизации точек касания.
Маркетинговые связки работают, но без четкой синхронизации с продажами. 
Аналитика маркетинговых данных ведется, но недостаточно глубоко. 
Используются рекламные каналы, но баланс между органическим и платным трафиком нестабилен.

Основные барьеры:
•      Не выстроен процесс тестирования гипотез, маркетинг развивается интуитивно
•        Недостаточная глубина анализа клиентского пути.
•        Отсутствие гибкости в управлении маркетинговыми бюджетами.
•        Неоптимизированные автоворонки и мультиканальные стратегии.

На этом этапе важно усилить аналитику, внедрить предиктивные модели поведения клиентов и автоматизировать процесс тестирования маркетинговых гипотез.",36,49,#fad390
МАРКЕТИНГ,,Сводный отчет по категории МАРКЕТИНГ,Стабильные результаты маркетинговой деятельности. Есть точки развития и роста.,"Маркетинг компании работает предсказуемо, используются несколько каналов продвижения, внедрены инструменты автоматизации и аналитики, клиентский поток стабилен. 
Стратегии персонализации эффективно внедрены. 
Аватары клиентов актуализируются регулярно, используются данные для точечного сегментирования. 
Карта пути клиента оптимизирована и корректируется, используются сценарии повторных продаж (Upsell, Cross-sell). 
Маркетинговые связки выстроены, однако существуют проблемы с балансом платного и органического трафика, что делает бизнес зависимым от определенного источника клиентов. 
Инструменты аналитики работают, необходима более глубокая интеграция с продажами, особенно в части сквозной аналитики и прогнозирования.

Что сдерживает рост:
•        Отсутствие гибкости в масштабировании рекламных каналов.
•        Можно усилить персонализацию взаимодействия с клиентами.
•        Долгосрочная стратегия маркетинга требует корректировки под изменения рынка.
•        Не все маркетинговые инструменты оптимизированы для работы с большими объемами клиентов.

Ключевая задача – расширить влияние маркетинговых связок на конверсию и внедрить AI-решения для оптимизации и управления маркетингом",50,74,#b8e994
МАРКЕТИНГ,,Сводный отчет по категории МАРКЕТИНГ,Эффективный маркетинг. Фокус на сохранение динамики и развитие бизнеса.,"Маркетинг компании работает на высоком уровне, обеспечивая стабильный приток клиентов с предсказуемыми показателями конверсии. 
Карта пути клиента детально проработана, точки касания автоматизированы и адаптируются в режиме реального времени. 
Используется омниканальный подход, платный и органический трафик сбалансированы, работает система ретаргетинга и ремаркетинга. 
Процесс тестирования маркетинговых гипотез поставлен на поток, что позволяет гибко адаптировать стратегию. 
Аналитика позволяет прогнозировать поведение клиентов, корректируя маркетинговые стратегии на основе данных.

Зоны роста:
•        Внедрение более точных персонализированных маркетинговых сценариев.
•        Автоматизация работы с данными, предсказательная аналитика на основе AI.
•        Усиление бренд-коммуникаций и взаимодействия с сообществами.
Точки роста:
•        Диверсификация маркетинговых каналов и недрение более точных персонализированных маркетинговых сценариев
•        Усиление работы с AI-инструментами 
•        Оптимизация рекламного бюджета с учетом более точных данных.
•        Автоматизация всех процессов для минимизации ручного управления.

Фокус на этом этапе – усиление бренд-коммуникаций, глубокое использование данных и внедрение AI-решений для оптимизации и управления маркетингом.",75,89,#78e08f
МАРКЕТИНГ,,Сводный отчет по категории МАРКЕТИНГ,"Эталонная маркетинговая стратегия, синхронизированная со всеми бизнес-процессами.","Ваш маркетинг выстроен идеально: он полностью автоматизирован, работает на предсказуемых данных и приносит стабильный поток клиентов. 
Используются AI-алгоритмы для персонализации контента, предиктивная аналитика и автоматизированные рекламные стратегии. 
Каждый этап взаимодействия с клиентом протестирован и оптимизирован, используются механизмы глубокой сегментации и прогнозирования поведения аудитории. 
Автоматизация процессов на оптимальном уровне, что позволяет бизнесу динамически адаптироваться к изменениям рынка.
Все маркетинговые активности синхронизированы с бизнес-стратегией, обеспечивая не только привлечение клиентов, но и долгосрочную лояльность. 
Компания задает тренды в маркетинге и масштабируется через новые форматы привлечения аудитории.

Фокус на будущее:
•        Развитие новых маркетинговых направлений с использованием нейросетевых моделей и AI-технологий.
•        Внедрение полностью автоматизированных воронок продаж на основе данных.
•        Масштабирование маркетинговых стратегий на новые рынки.

Компании, достигшие этого уровня, не просто лидируют в своей нише, а формируют будущее маркетинговых технологий.",90,100,#009432
МАРКЕТИНГ,Аватар клиента,,Отсутствие сегментации. Недостаточное понимание клиентских запросов.,"Вы не используете систему сегментации клиентов и не анализируете их потребности. 
В результате маркетинговые кампании работают неэффективно, офферы не персонализированы, а клиенты не чувствуют, что продукт решает их конкретную проблему. 
Отсутствие базы клиентских запросов и методик анализа поведения аудитории делает невозможным формирование четкого позиционирования и конкурентоспособных предложений. 
Это ведет к высокой стоимости привлечения клиентов, низкому уровню конверсии и высокой доле отказов.
",0,20,#eb2f06
МАРКЕТИНГ,Аватар клиента,,Недостататочное понимание структуры клиентской аудитории. Отсутствие аналитического подхода.,"У вас есть общее представление о целевой аудитории, но оно не подкреплено реальной аналитикой. 
Возможно, определены базовые сегменты клиентов, но отсутствует углубленный анализ их болей, возражений и мотивации. 
Аватары клиентов разработаны поверхностно или не актуализируются на регулярной основе. 
Это мешает персонализации маркетинга и снижает его эффективность, так как рекламные сообщения и предложения не адаптированы под разные сегменты.
",21,35,#f6b93b
МАРКЕТИНГ,Аватар клиента,,Базовое уровень проработки профиля клиентов. Не достаточная интеграция в маркетинговые решения.,"Клиентские сегменты определены, но работа с ними ведется недостаточно глубоко. 
Возможно, вы учитываете только стандартные характеристики и не анализируете поведенческие паттерны, эмоциональные триггеры и ключевые возражения клиентов. 
Недостаточная персонализация офферов приводит к тому, что маркетинговые кампании теряют часть эффективности. 
Также не используются продвинутые методы аналитики (CustDev, тестирование гипотез, регулярные опросы), что снижает способность адаптироваться к изменениям в потребностях клиентов.
",36,49,#fad390
